year,month,requests
2010,1,178962
2010,2,156778
2010,3,192626
2010,4,157937
2010,5,152197
2010,6,150530
2010,7,151319
2010,8,152015
2010,9,155749
2010,10,166787
2010,11,165781
2010,12,177004
2011,1,171664
2011,2,150964
2011,3,142173
2011,4,123902
2011,5,126097
2011,6,138117
2011,7,145171
2011,8,159801
2011,9,157102
2011,10,167753
2011,11,157082
2011,12,158242
2012,1,164040
2012,2,132485
2012,3,141806
2012,4,129206
2012,5,137701
2012,6,138368
2012,7,142926
2012,8,142279
2012,9,133097
2012,10,147741
2012,11,164041
2012,12,148602
2013,1,172305
2013,2,145432
2013,3,147809
2013,4,142453
2013,5,145925
2013,6,146040
2013,7,146517
2013,8,138344
2013,9,129996
2013,10,146032
2013,11,151072
2013,12,151917
2014,1,205579
2014,2,174444
2014,3,170324
2014,4,154487
2014,5,169813
2014,6,172054
2014,7,171269
2014,8,156188
2014,9,152545
2014,10,165461
2014,11,173073
2014,12,168172
2015,1,183364
2015,2,192489
2015,3,198875
2015,4,176924
2015,5,179712
2015,6,189920
2015,7,184617
2015,8,177316
2015,9,174840
2015,10,191592
2015,11,177149
2015,12,169360
2016,1,202521
2016,2,190516
2016,3,187098
2016,4,177541
2016,5,193236
2016,6,198192
2016,7,191129
2016,8,188883
2016,9,180820
2016,10,190856
2016,11,181722
2016,12,197068
2017,1,199157
2017,2,172347
2017,3,198028
2017,4,188509
2017,5,200444
2017,6,207240
2017,7,198073
2017,8,194488
2017,9,199439
2017,10,209718
2017,11,208655
2017,12,212023
2018,1,246625
2018,2,185355
2018,3,213561
2018,4,203271
2018,5,222040
2018,6,224174
2018,7,222234
2018,8,225345
2018,9,217553
2018,10,240714
2018,11,219019
2018,12,204650
