Month,Day,requests,USAF,WBAN,StationName,State,Latitude,Longitude,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,Rain,SnowDepth,SnowIce,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
2,1,1022,725060,94728,NEW YORK CENTRAL PARK,NY,40.779,-73.969,55.1,42.1,62.1,35.7,0.0,7.1,14.0,21.0,1,0.0,0,0,0,1,0,0
1,1,685,725053,94728,CENTRAL PARK,NY,40.779,-73.969,37.8,33.1,39.9,23.6,0.0,6.1,8.9,19.0,0,0.0,0,0,0,1,0,0
7,1,548,997280,99999,KINGS POINT,NY,40.8,-73.77,81.8,75.9,90.0,0.0,0.0,5.6,15.0,0.0,0,0.0,0,1,0,0,0,0
8,1,1267,997280,99999,KINGS POINT,NY,40.8,-73.77,77.4,69.3,89.8,0.0,0.0,4.6,13.0,0.0,0,0.0,0,1,0,0,0,0
2,1,250,997272,99999,BERGEN POINT,NY,40.639,-74.146,54.3,47.7,61.9,0.0,0.0,5.9,14.0,0.0,0,0.0,0,0,0,0,0,1
2,1,1936,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,30.5,27.0,35.1,9.1,0.45,19.0,26.0,35.0,0,0.0,1,0,1,0,0,0
12,1,374,997272,99999,BERGEN POINT,NY,40.639,-74.146,48.3,45.7,50.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1
11,1,979,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,57.8,39.9,64.0,46.4,0.0,10.0,15.0,20.0,0,0.0,0,0,0,0,1,0
9,1,693,725053,94728,CENTRAL PARK,NY,40.779,-73.969,79.3,73.0,90.0,70.6,0.62,2.6,5.1,0.0,0,0.0,0,0,0,1,0,0
8,1,2787,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,77.8,66.9,84.0,74.6,0.0,12.2,22.9,25.1,1,0.0,0,0,1,0,0,0
3,1,237,997272,99999,BERGEN POINT,NY,40.639,-74.146,25.5,18.7,37.9,0.0,0.0,2.7,7.0,0.0,0,0.0,0,0,0,0,0,1
5,1,227,997272,99999,BERGEN POINT,NY,40.639,-74.146,54.9,48.9,61.0,0.0,0.0,4.1,8.0,0.0,0,0.0,0,0,0,0,0,1
5,1,641,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,64.8,54.0,80.1,50.6,0.0,4.6,12.0,0.0,0,0.0,0,0,0,0,1,0
5,1,703,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,55.4,50.0,66.0,39.5,0.0,7.0,12.0,0.0,0,0.0,0,0,1,0,0,0
4,1,1456,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,48.1,37.0,63.0,36.9,0.0,13.5,22.0,0.0,0,0.0,0,0,1,0,0,0
8,1,367,997272,99999,BERGEN POINT,NY,40.639,-74.146,73.5,70.3,79.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1
3,1,1180,725053,94728,CENTRAL PARK,NY,40.779,-73.969,58.6,46.9,70.0,53.5,0.0,4.5,8.9,19.0,1,0.0,0,0,0,1,0,0
10,1,686,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,63.4,57.9,75.9,54.4,0.4,8.5,15.0,21.0,1,0.0,0,0,0,0,1,0
5,1,482,997272,99999,BERGEN POINT,NY,40.639,-74.146,56.4,50.2,75.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1
7,1,1768,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,81.6,70.0,93.9,72.0,0.0,6.6,11.1,0.0,0,0.0,0,0,1,0,0,0
12,1,1490,725060,94728,NEW YORK CENTRAL PARK,NY,40.779,-73.969,43.5,37.9,50.0,25.2,0.0,7.7,15.0,20.0,0,0.0,0,0,0,1,0,0
5,1,390,997272,99999,BERGEN POINT,NY,40.639,-74.146,51.4,49.3,55.6,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1
8,1,1487,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,80.4,72.0,89.1,67.4,0.01,7.9,19.0,25.1,1,0.0,0,0,0,0,1,0
10,1,2530,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,68.1,54.0,75.0,64.3,0.0,9.3,14.0,0.0,0,0.0,0,0,1,0,0,0
7,1,1279,725053,94728,CENTRAL PARK,NY,40.779,-73.969,74.5,66.9,84.9,64.1,0.0,3.2,8.0,0.0,1,0.0,0,0,0,1,0,0
10,1,1133,725053,94728,CENTRAL PARK,NY,40.779,-73.969,63.2,60.8,64.9,57.1,0.0,5.2,8.0,0.0,1,0.0,0,0,0,1,0,0
