CreatedDateYear,CreatedDateMonth,Borough,ComplaintType,requests
2010,01,BROOKLYN,Noise - Residential,2794
2010,01,BRONX,Street Condition,996
2010,01,QUEENS,General Construction/Plumbing,1114
2010,01,BROOKLYN,Street Light Condition,2468
2010,01,MANHATTAN,Water System,653
2010,01,STATEN ISLAND,Water System,574
2010,01,STATEN ISLAND,Traffic Signal Condition,150
2010,01,BRONX,Water System,444
2010,01,MANHATTAN,General Construction/Plumbing,1026
2010,01,BRONX,Blocked Driveway,595
2010,01,STATEN ISLAND,Blocked Driveway,153
2010,01,STATEN ISLAND,Street Light Condition,784
2010,01,BRONX,Street Light Condition,1568
2010,01,Unspecified,Street Light Condition,184
2010,01,BROOKLYN,Street Condition,2718
2010,01,QUEENS,Street Light Condition,3175
2010,01,BROOKLYN,Traffic Signal Condition,1447
2010,01,QUEENS,Street Condition,2443
2010,01,MANHATTAN,Street Condition,1761
2010,01,MANHATTAN,Blocked Driveway,132
2010,01,QUEENS,Traffic Signal Condition,1330
2010,01,MANHATTAN,Noise - Residential,2289
2010,01,QUEENS,Noise - Residential,1637
2010,01,STATEN ISLAND,General Construction/Plumbing,188
2010,01,STATEN ISLAND,Noise - Residential,201
2010,01,BROOKLYN,Blocked Driveway,1498
2010,01,BRONX,Noise - Residential,2996
2010,01,Unspecified,Traffic Signal Condition,31
2010,01,BRONX,Traffic Signal Condition,739
2010,01,BROOKLYN,Water System,1303
2010,01,STATEN ISLAND,Street Condition,1261
2010,01,MANHATTAN,Street Light Condition,849
2010,01,BRONX,General Construction/Plumbing,403
2010,01,QUEENS,Blocked Driveway,1545
2010,01,QUEENS,Water System,1827
2010,01,BROOKLYN,General Construction/Plumbing,1307
2010,01,MANHATTAN,Traffic Signal Condition,1334
2010,02,BRONX,Water System,243
2010,02,QUEENS,Water System,1009
2010,02,MANHATTAN,Blocked Driveway,150
2010,02,BRONX,Street Condition,1428
2010,02,BROOKLYN,General Construction/Plumbing,1244
2010,02,BROOKLYN,Street Condition,2618
2010,02,MANHATTAN,Traffic Signal Condition,1130
2010,02,BRONX,Street Light Condition,1408
2010,02,STATEN ISLAND,Street Condition,1432
2010,02,QUEENS,Noise - Residential,1528
