Year,Month,Borough,requests
2010,02,BRONX,13923
2010,05,BRONX,16068
2010,04,BRONX,16027
2010,11,BRONX,12803
2010,07,BRONX,17285
2010,09,BRONX,15818
2010,01,BRONX,13992
2010,10,BRONX,14770
2010,06,BRONX,17916
2010,12,BRONX,12532
2010,03,BRONX,17707
2010,08,BRONX,16776
2011,11,BRONX,31945
2011,10,BRONX,33604
2011,06,BRONX,23523
2011,08,BRONX,28156
2011,07,BRONX,28121
2011,02,BRONX,14995
2011,03,BRONX,23922
2011,04,BRONX,20934
2011,09,BRONX,28630
2011,12,BRONX,34964
2011,05,BRONX,20961
2011,01,BRONX,13804
2012,01,BRONX,37272
2012,04,BRONX,23676
2012,03,BRONX,28226
2012,10,BRONX,26041
2012,09,BRONX,23069
2012,06,BRONX,25070
2012,08,BRONX,25354
2012,12,BRONX,30105
2012,11,BRONX,32294
2012,07,BRONX,27323
2012,05,BRONX,24783
2012,02,BRONX,28815
2013,01,BRONX,36386
2013,08,BRONX,23939
2013,02,BRONX,31336
2013,10,BRONX,26824
2013,09,BRONX,22271
2013,07,BRONX,27683
2013,12,BRONX,34450
2013,04,BRONX,25614
2013,11,BRONX,32974
2013,03,BRONX,28882
2013,05,BRONX,24760
2013,06,BRONX,25513
2014,12,BRONX,35488
2014,04,BRONX,29100
2014,06,BRONX,28578
2014,03,BRONX,33421
2014,05,BRONX,28754
2014,10,BRONX,29809
2014,02,BRONX,36924
2014,01,BRONX,47191
2014,09,BRONX,25582
2014,08,BRONX,27180
2014,07,BRONX,30138
2014,11,BRONX,37131
2015,04,BRONX,30863
2015,07,BRONX,33067
2015,02,BRONX,41809
2015,12,BRONX,32890
2015,10,BRONX,34928
2015,11,BRONX,34239
2015,01,BRONX,40442
2015,06,BRONX,31543
2015,05,BRONX,29960
2015,08,BRONX,30970
2015,09,BRONX,30083
2015,03,BRONX,37303
2016,02,BRONX,40977
2016,06,BRONX,33553
2016,11,BRONX,36621
2016,03,BRONX,34575
2016,12,BRONX,42825
2016,05,BRONX,33491
2016,07,BRONX,35206
2016,01,BRONX,44341
2016,10,BRONX,35403
2016,04,BRONX,30171
2016,09,BRONX,31087
2016,08,BRONX,34984
2017,04,BRONX,33909
2017,08,BRONX,35232
2017,10,BRONX,35164
2017,11,BRONX,40162
2017,06,BRONX,35447
2017,05,BRONX,34264
2017,03,BRONX,40420
2017,01,BRONX,42284
2017,09,BRONX,32441
2017,12,BRONX,44371
2017,07,BRONX,35495
2017,02,BRONX,35085
2018,04,BRONX,36262
2018,03,BRONX,38841
2018,01,BRONX,50979
2018,10,BRONX,42731
2018,07,BRONX,39290
2018,11,BRONX,41488
2018,06,BRONX,36709
2018,02,BRONX,33882
2018,12,BRONX,38482
2018,09,BRONX,37412
2018,05,BRONX,36438
2018,08,BRONX,38638
2019,02,BRONX,36996
2019,04,BRONX,14283
2019,01,BRONX,47755
2019,03,BRONX,35502
2010,07,QUEENS,31084
2010,05,QUEENS,32283
2010,11,QUEENS,24475
2010,01,QUEENS,26698
2010,06,QUEENS,31514
2010,09,QUEENS,36859
2010,04,QUEENS,31780
2010,08,QUEENS,31283
2010,02,QUEENS,26281
2010,03,QUEENS,37280
2010,10,QUEENS,29625
2010,12,QUEENS,23836
2011,10,QUEENS,35398
2011,08,QUEENS,40762
2011,09,QUEENS,36693
2011,01,QUEENS,25915
2011,02,QUEENS,27906
2011,07,QUEENS,34766
2011,04,QUEENS,29387
2011,12,QUEENS,32205
2011,11,QUEENS,33378
2011,05,QUEENS,30885
2011,03,QUEENS,33667
2011,06,QUEENS,34543
2012,05,QUEENS,31891
2012,03,QUEENS,30759
2012,12,QUEENS,31600
2012,11,QUEENS,40145
2012,10,QUEENS,36755
2012,01,QUEENS,32796
2012,07,QUEENS,34933
2012,09,QUEENS,32805
2012,02,QUEENS,27188
2012,08,QUEENS,35317
2012,06,QUEENS,33966
2012,04,QUEENS,29286
2013,11,QUEENS,30101
2013,07,QUEENS,34588
2013,01,QUEENS,35495
2013,05,QUEENS,33369
2013,04,QUEENS,30975
2013,08,QUEENS,32684
2013,02,QUEENS,30253
2013,10,QUEENS,31908
2013,03,QUEENS,30763
2013,12,QUEENS,31402
2013,09,QUEENS,30955
2013,06,QUEENS,34393
2014,09,QUEENS,36553
2014,01,QUEENS,40961
2014,07,QUEENS,42039
2014,12,QUEENS,35778
2014,05,QUEENS,40497
2014,08,QUEENS,38138
2014,10,QUEENS,37052
2014,11,QUEENS,36270
2014,06,QUEENS,42902
2014,04,QUEENS,35427
2014,03,QUEENS,39865
2014,02,QUEENS,38759
2015,12,QUEENS,38860
2015,07,QUEENS,45125
2015,04,QUEENS,41977
2015,02,QUEENS,41852
2015,08,QUEENS,44146
2015,09,QUEENS,41835
2015,10,QUEENS,42899
2015,05,QUEENS,42713
2015,06,QUEENS,47060
2015,03,QUEENS,48949
2015,01,QUEENS,37650
2015,11,QUEENS,37885
2016,02,QUEENS,41655
2016,01,QUEENS,42353
2016,11,QUEENS,40114
2016,03,QUEENS,42396
2016,05,QUEENS,43859
2016,07,QUEENS,45958
2016,04,QUEENS,40528
2016,09,QUEENS,43185
2016,12,QUEENS,41383
2016,06,QUEENS,47346
2016,08,QUEENS,45026
2016,10,QUEENS,42597
2017,05,QUEENS,49405
2017,04,QUEENS,44713
2017,06,QUEENS,52135
2017,10,QUEENS,53335
2017,08,QUEENS,47972
2017,12,QUEENS,48670
2017,09,QUEENS,51608
2017,01,QUEENS,43228
2017,07,QUEENS,49875
2017,03,QUEENS,46226
2017,11,QUEENS,50765
2017,02,QUEENS,37446
2018,09,QUEENS,56022
2018,07,QUEENS,57667
2018,02,QUEENS,45613
2018,11,QUEENS,51712
2018,03,QUEENS,54902
2018,10,QUEENS,57439
2018,06,QUEENS,58521
2018,05,QUEENS,57206
2018,08,QUEENS,57922
2018,12,QUEENS,49029
