CreatedDateYear,CreatedDateMonth,CreatedDateDay,requests
2016,07,10,5180
2010,04,25,2837
2018,09,23,6247
2015,05,13,5979
2013,11,27,5433
2014,09,02,6165
2015,10,28,6361
2016,05,05,6614
2010,08,22,2594
2011,05,19,4962
2011,05,03,4989
2015,02,06,7109
2011,11,28,5546
2010,12,11,3990
2011,04,09,2697
2018,10,27,6397
2018,12,14,6698
2013,08,08,4742
2015,01,01,4120
2016,05,12,6629
2014,12,15,6026
2014,07,15,6755
2012,05,28,3559
2011,07,30,3288
2010,08,03,6151
2012,07,05,5534
2012,01,09,6293
2012,05,23,5497
2015,05,24,4590
2017,10,08,4795
2018,02,08,7536
2011,07,05,6242
2017,09,03,4983
2011,03,10,5541
2013,09,20,4265
2015,05,21,5957
2013,10,04,5004
2015,12,30,5998
2016,03,21,6131
2016,06,14,7401
2017,01,04,6946
2018,04,19,7161
2018,05,15,7628
2016,07,29,6395
2012,01,28,3395
2011,02,13,3006
2011,07,06,6207
2013,09,01,2990
2017,11,23,4145
2014,12,27,3442
2011,12,31,2517
2010,05,30,2583
2014,12,24,4091
2016,06,15,7319
2015,08,12,6163
2010,12,15,8448
2018,02,02,7458
2010,10,21,6861
2010,05,18,5426
2016,10,19,5965
2011,09,04,2888
2014,10,21,5957
2019,02,06,7586
2011,01,21,5626
2011,06,10,4960
2012,08,17,4898
2017,11,09,8332
2018,10,31,7880
2014,07,02,6426
2013,04,09,5338
2016,12,16,9339
2018,04,02,6763
2017,05,18,7158
2015,06,18,6380
2017,01,11,6494
2014,07,14,6209
2010,08,28,3251
2014,11,23,3941
2012,07,08,2686
2017,12,17,5558
2018,06,01,7484
2010,08,30,6011
2010,06,07,6246
2016,02,10,6611
2016,11,09,5246
2014,08,29,5007
2013,08,18,3327
2011,01,20,6160
2012,04,30,5086
2018,01,06,10533
2011,02,16,6277
2015,11,14,6100
2018,01,13,6347
2013,03,08,4930
2013,12,04,5018
2019,03,13,7214
2015,04,16,6210
2013,01,07,5829
2016,07,20,6550
2017,10,06,6624
2011,02,14,6037
2011,08,24,5985
2018,03,28,7198
2011,06,23,5516
2011,03,15,5984
2014,05,22,5631
2017,02,15,7014
2012,09,04,5101
2013,06,25,5449
2014,12,17,5667
2013,07,25,5097
2012,07,10,5748
2013,09,15,3151
2016,12,15,9038
2014,12,31,5055
2012,11,07,8358
2010,12,25,2489
2016,06,20,7406
2010,09,28,6300
2016,08,10,6267
2011,06,14,5258
2017,03,31,6493
2011,12,16,5345
2015,03,28,4710
2014,06,28,4570
2019,04,09,6434
2010,09,27,6306
2014,11,19,8747
2010,05,21,5400
2013,09,02,2996
2019,02,16,5136
2015,12,13,4137
2014,04,02,5816
2013,05,08,6158
2012,08,29,5218
2014,03,19,6275
2010,08,10,6126
2010,09,26,3203
2015,03,14,5159
2015,09,28,6184
2017,05,12,6537
2010,02,28,4203
2011,03,11,5612
2016,09,12,6589
2017,12,31,6140
2015,10,06,6090
2011,10,22,4182
2012,12,20,5222
