USAF,WBAN,StationName,State,Latitude,Longitude,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,Rain,SnowDepth,SnowIce,Year,Month,Day,Borough
997280,99999,KINGS POINT,NY,40.8,-73.77,34.5,32.2,37.9,,0.0,1.4,2.9,,0,,0,2010,1,1,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,21.8,15.8,28.6,,0.0,,,,0,,0,2010,1,10,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,26.9,23.2,31.3,,0.0,,,,0,,0,2010,1,11,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,31.2,28.6,34.7,,0.0,,,,0,,0,2010,1,12,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,28.0,24.4,34.5,,0.0,,,,0,,0,2010,1,13,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,33.7,28.0,40.8,,0.0,,,,0,,0,2010,1,14,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,38.1,34.0,46.0,,0.0,,,,0,,0,2010,1,15,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,40.8,37.9,46.4,,0.0,,,,0,,0,2010,1,16,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,38.4,33.4,46.2,,0.0,,,,0,,0,2010,1,17,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,40.0,36.9,45.1,,0.0,,,,0,,0,2010,1,18,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,41.3,37.2,45.1,,0.0,,,,0,,0,2010,1,19,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,31.2,22.3,38.7,,0.0,11.1,20.0,,0,,0,2010,1,2,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,38.7,35.1,44.1,,0.0,,,,0,,0,2010,1,20,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,35.4,30.6,41.2,,0.0,,,,0,,0,2010,1,21,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,36.3,33.1,43.2,,0.0,,,,0,,0,2010,1,22,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,33.9,28.2,40.3,,0.0,,,,0,,0,2010,1,23,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,35.0,32.0,39.7,,0.0,,,,0,,0,2010,1,24,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,51.2,39.2,55.9,,0.0,,,,0,,0,2010,1,25,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,43.7,39.2,50.4,,0.0,,,,0,,0,2010,1,26,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,36.3,33.1,41.0,,0.0,,,,0,,0,2010,1,27,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,35.9,31.8,41.5,,0.0,,,,0,,0,2010,1,28,BRONX
